ID,Type,Persona,Page,Severity,Status,Title,Description
R1-B1,Bug,Avid Reader,Book Detail,Critical,Open,Hardcoded product details,"Publisher, page count, publication date, and ISBN are hardcoded to same values for every book"
R1-B2,Bug,Avid Reader,Book Detail,Critical,Open,Hardcoded star rating,"Star rating always shows 4.5/5 with '(42 reviews)' — no actual reviews"
R1-B3,Bug,Avid Reader,Book Detail,High,Open,Staff quote concatenated with template text,"Staff quote appended with generic 'I couldn't put it down...' text"
R1-B4,Bug,Avid Reader,Contact,High,Open,Store hours inconsistent across pages,"Contact says Mon-Sat 10am-8pm but footer/navbar say Mon-Fri 10am-6pm"
R1-B5,Bug,Avid Reader,Home,Medium,Open,Newsletter hero form has no submit handler,User types email in hero newsletter form and nothing happens
R1-B6,Bug,Avid Reader,Shop,Medium,Open,Price range slider uses 0-100 scale not dollars,Filter appears to work but confusing since it doesn't map to real prices
R1-B7,Bug,Avid Reader,Read Alikes,Medium,Open,Recommendation links to shop search may be dead ends,Many recommended books may not be in inventory — search returns nothing
R1-B8,Bug,Avid Reader,Home,Low,Open,Empty carousel sections silently disappear,"If bestsellers empty, entire section hidden with no explanation"
R1-F1,Feature,Avid Reader,Shop,High,Open,Filters don't sync to URL,"Can't bookmark or share a filtered search, browser back doesn't undo"
R1-F2,Feature,Avid Reader,Shop,Medium,Open,No loading skeletons,Just a spinner — page layout shifts when books load
R1-F3,Feature,Avid Reader,Book Detail,Medium,Open,Add quick 'Add to Bag' on recommendations,You Might Also Like only links to detail pages — needs quick-add
R1-F4,Feature,Avid Reader,Read Alikes,Medium,Open,Tabbed interface for reading levels,Page is very long scroll with 6 levels — tabs would be more navigable
R1-F5,Feature,Avid Reader,Home,Low,Open,No Recently Viewed section,"After browsing 5 books, no way to find them again without searching"
R1-F6,Feature,Avid Reader,Shop,Low,Open,No recovery suggestions on empty results,"When search yields 0 results, no 'try these categories' prompt"
R2-B1,Bug,Frequent Customer,Account Dashboard,Critical,Open,Dashboard stats hardcoded,"Shows '12 wishlist items', '4 past orders' regardless of actual data"
R2-B2,Bug,Frequent Customer,Account Dashboard,Critical,Open,Recent order card hardcoded,"Shows hardcoded order #88219 'Heaven & Earth Grocery Store' for everyone"
R2-B3,Bug,Frequent Customer,Order History,Critical,Open,Order history shows mock data only,Only 2 hardcoded mock orders — no database queries for real orders
R2-B4,Bug,Frequent Customer,Order History,High,Open,Time period filter dropdown non-functional,Selecting different period does nothing — no onChange handler
R2-B5,Bug,Frequent Customer,Checkout,Critical,Open,No database transaction in checkout,"4 sequential table writes — partial failure leaves order incomplete"
R2-B6,Bug,Frequent Customer,Checkout,High,Open,State dropdown only lists 5 states,"Only CA, AZ, NV, OR, WA — can't ship to other states"
R2-B7,Bug,Frequent Customer,Checkout,High,Open,No inventory re-check at payment time,"If reservation expired during checkout, user can pay for out-of-stock items"
R2-B8,Bug,Frequent Customer,Cart,Medium,Open,No quantity limit validation,"User can add 10,000 copies with no check against inventory"
R2-B9,Bug,Frequent Customer,Wishlist,Medium,Open,Share List button does nothing,onClick handler is empty function
R2-B10,Bug,Frequent Customer,Wishlist,Medium,Open,Notify Me toggle is client-side only,No backend integration for restock/price-drop notifications
R2-B11,Bug,Frequent Customer,Events,Medium,Open,Event registration no required-field validation,Can submit registration with blank name/email
R2-B12,Bug,Frequent Customer,Settings,High,Open,Delete Account modal non-functional,Confirm button has no onClick handler — can't delete account
R2-B13,Bug,Frequent Customer,Settings,Medium,Open,Settings form inputs uncontrolled,"Uses defaultValue — Save Changes can't read or persist changes"
R2-B14,Bug,Frequent Customer,Checkout,Medium,Open,Pickup option missing readiness estimate,"No 'Ready in 1 hour' or 'Ready after 2 business days' shown"
R2-F1,Feature,Frequent Customer,Order History,High,Open,Buy Again button non-functional,Button exists but doesn't add items back to cart
R2-F2,Feature,Frequent Customer,Order History,High,Open,Track Package button has no carrier integration,Needs FedEx/UPS/USPS tracking link
R2-F3,Feature,Frequent Customer,Account Dashboard,High,Open,Dynamic store hours and next event,"Use getTodayHours() instead of hardcoded '10-8pm'"
R2-F4,Feature,Frequent Customer,Wishlist,Medium,Open,Multiple wishlists,"Only one default list — want 'Gift Ideas', 'To Read', etc."
R2-F5,Feature,Frequent Customer,Cart,Medium,Open,No promo code / discount field,Common bookstore feature missing
R2-F6,Feature,Frequent Customer,Checkout,Medium,Open,No save payment method option,No 'Remember Me' for returning customers
R2-F7,Feature,Frequent Customer,Auth,Medium,Open,No social sign-in,"Email/phone only — no Google, Apple"
R2-F8,Feature,Frequent Customer,Cart,Low,Open,Tax calculation opaque,"Shows 'Estimated' with no rate breakdown"
W-B1,Bug,Webmaster,Security,Critical,Open,Supabase anon key hardcoded in source,"src/lib/supabase.ts — should be in .env, key needs rotation"
W-B2,Bug,Webmaster,Security,Critical,Open,Square API credentials are placeholders,"'REPLACE_WITH_YOUR_APP_ID' in Checkout.tsx, test cards bundled in prod JS"
W-B3,Bug,Webmaster,Data Layer,Critical,Open,Inventory race condition,"reserveInventory/confirmPurchase do separate read-then-write without row locking"
W-B4,Bug,Webmaster,Data Layer,Critical,Open,Checkout item inserts fail silently,"Logs error but continues — order created without line items"
W-B5,Bug,Webmaster,Data Layer,High,Open,releaseInventory not awaited,"CartContext.removeItem and clearCart call without await — failed release locks inventory"
W-B6,Bug,Webmaster,Data Layer,High,Open,checkBookAvailability returns fake data on error,"Returns { available: true, inStock: 10 } on any error"
W-B7,Bug,Webmaster,Security,High,Open,Filter injection via topic keywords,"tags.cs.{${kw}} — user input interpolated into PostgREST filter syntax"
W-B8,Bug,Webmaster,Data Layer,High,Open,Expired reservations never cleaned up,cleanup function exists in DB but is never called
W-B9,Bug,Webmaster,Data Layer,Medium,Open,Order number collision possible,"Date.now().toString(36) — two orders in same ms get same number"
W-B10,Bug,Webmaster,Data Layer,Medium,Open,Gift card ID prefix bypass,"Any item ID starting with 'gc-' skips inventory reservation"
W-B11,Bug,Webmaster,Data Layer,Medium,Open,getBooksCount ignores bestsellerCategory,Total count includes all categories even when bestseller pill active
W-B12,Bug,Webmaster,Performance,High,Open,getClientSortedBooks fetches ALL books,"Alphabetical sort loads entire catalog into memory, then slices"
W-B13,Bug,Webmaster,Performance,High,Open,filterStaleHardcovers queries all order_items,"Expensive query for every hardcover ISBN on every page load"
W-B14,Bug,Webmaster,Performance,Medium,Open,Home page fires 5+ parallel uncached queries,"Bestsellers, new releases, coming soon, staff picks, events — no caching"
W-A1,Bug,Webmaster,Accessibility,High,Open,BookCarousel scroll buttons missing aria-label,Screen readers announce empty buttons
W-A2,Bug,Webmaster,Accessibility,High,Open,BookDetailModal missing focus trap,"No aria-labelledby, no focus trap, focus not set on open"
W-A3,Bug,Webmaster,Accessibility,High,Open,Events calendar not keyboard-navigable,"No arrow key support, no aria-current on today"
W-A4,Bug,Webmaster,Accessibility,Medium,Open,Shop range sliders no ARIA value labels,Screen readers can't report current price range
W-A5,Bug,Webmaster,Accessibility,Medium,Open,Settings 2FA toggle is custom div not input,Invisible to assistive tech
W-A6,Bug,Webmaster,Accessibility,Medium,Open,Cart quantity buttons missing aria-label,"Need 'Decrease quantity for [title]' etc."
W-A7,Bug,Webmaster,Accessibility,Medium,Open,Auth OTP inputs no aria-label,"Need 'Digit 1 of 6' labels"
W-A8,Bug,Webmaster,Accessibility,Medium,Open,Checkout progress uses divs not ol/li,No semantic step structure
W-A9,Bug,Webmaster,Accessibility,Low,Open,About map placeholder no alt/label,Decorative div with no meaning
W-A10,Bug,Webmaster,Accessibility,Low,Open,Staff Picks heading hierarchy jumps H1 to H3,Missing H2 level
W-F1,Feature,Webmaster,Architecture,High,Open,Add React Error Boundaries,Any component error crashes the whole app
W-F2,Feature,Webmaster,Data,High,Open,Single source of truth for store info,"Hours, phone, address hardcoded in 3+ places with different values"
W-F3,Feature,Webmaster,Performance,High,Open,Add image lazy loading for book covers,Home page carousel loads 40+ covers eagerly
W-F4,Feature,Webmaster,Data,Medium,Open,Idempotency keys for checkout,Prevent double-charge on rapid form resubmission
W-F5,Feature,Webmaster,Architecture,Medium,Open,Database transactions for checkout write,Use Supabase RPC instead of 4 sequential inserts
W-F6,Feature,Webmaster,Auth,Medium,Open,Email verification callback route missing,"Signup sends verification email but app has no handler for link"
W-F7,Feature,Webmaster,Performance,Medium,Open,Add caching layer for data fetches,React Query or SWR to reduce redundant Supabase calls
W-F8,Feature,Webmaster,Monitoring,Low,Open,Replace console.error with structured logging,"Include request context (filters, user, timestamp)"
W-F9,Feature,Webmaster,Testing,Low,Open,No test suite exists,"Need unit tests for cart math, inventory logic, filter builder"
